VARIABLES = X, Y, Z
ZONE I=       37  J=       73  F=POINT
        1.9733801417        1.8473149065       16.7974191780
        1.9987845186        1.7616219754       16.8818061121
        2.0196568541        1.6742579939       16.9660236203
        2.0477271293        1.5920821393       17.0512991650
        2.0927673047        1.5221362920       17.1378145130
        2.1591014985        1.4707607382       17.2233855474
        2.2446798445        1.4418834231       17.3040951642
        2.3431500541        1.4353418379       17.3765531139
        2.4475480512        1.4466412531       17.4400525866
        2.5533437189        1.4688548025       17.4968852732
        2.6592341076        1.4958815103       17.5504872326
        2.7657471743        1.5251778266       17.6027795729
        2.8731499877        1.5583000014       17.6526828396
        2.9803393340        1.5990407586       17.6968486945
        3.0853265074        1.6505444389       17.7319418437
        3.1865578197        1.7133498166       17.7566859095
        3.2837368087        1.7854677368       17.7722030056
        3.3774083701        1.8640629713       17.7805967158
        3.4677303457        1.9472666020       17.7830671197
        3.5535719611        2.0348134812       17.7790610712
        3.6327612968        2.1273018757       17.7669772920
        3.7032771972        2.2249437364       17.7456547776
        3.7643554722        2.3268900850       17.7153403495
        3.8165622664        2.4315373741       17.6774158896
        3.8607892695        2.5373370999       17.6332785641
        3.8970568401        2.6433090197       17.5834315432
        3.9241713032        2.7488872229       17.5275409476
        3.9405414558        2.8534193428       17.4652918593
        3.9454573244        2.9559239714       17.3971836083
        3.9397279465        3.0553608374       17.3245318927
        3.9251078061        3.1510745916       17.2487231173
        3.9029597088        3.2428500567       17.1704570137
        3.8732469130        3.3304047940       17.0896936842
        3.8346827830        3.4127741074       17.0063351579
        3.7859212455        3.4882777411       16.9209706749
        3.7268348137        3.5553032022       16.8349519843
        3.6588796483        3.6133582276       16.7496978832
        1.9733801417        1.8473149065       16.7974191780
        1.9947100221        1.7680097295       16.8890099392
        2.0114784229        1.6869386845       16.9802543397
        2.0351426586        1.6109481451       17.0725037668
        2.0753083086        1.5470018866       17.1660837471
        2.1363914629        1.5012211346       17.2588315835
        2.2166813392        1.4772520515       17.3466819297
        2.3102289480        1.4747820148       17.4260044583
        2.4103083617        1.4894514509       17.4958938405
        2.5123539498        1.5147203097       17.5585695429
        2.6148447798        1.5448993090       17.6175043857
        2.7181248223        1.5776139951       17.6746781069
        2.8224814133        1.6142357497       17.7290142886
        2.9270265689        1.6581486505       17.7770996376
        3.0300042937        1.7121403158       17.8155091938
        3.1299128781        1.7766620771       17.8428976125
        3.2262734135        1.8499124204       17.8603449684
        3.3193542308        1.9293263110       17.8699150515
        3.4091691937        2.0131582176       17.8727578465
        3.4947092097        2.1010298453       17.8682878029
        3.5741197406        2.1932933583       17.8549370929
        3.6456681828        2.2899772866       17.8316591863
        3.7086396884        2.3902366457       17.7988453269
        3.7633717827        2.4926240436       17.7579607312
        3.8104080186        2.5957538641       17.7103656599
        3.8495344319        2.6986944404       17.6564363086
        3.8795726359        2.8008165006       17.5957297803
        3.8991435892        2.9014005418       17.5279471270
        3.9077581287        2.9994983877       17.4537495958
        3.9062781818        3.0942046882       17.3746755995
        3.8963029604        3.1849999267       17.2922687527
        3.8789409695        3.2716997042       17.2072518281
        3.8539652982        3.3539395829       17.1195141956
        3.8200600510        3.4306655019       17.0289041093
        3.7759863179        3.5002294375       16.9360592874
        3.7217532084        3.5612084410       16.8424712558
        3.6588796483        3.6133582276       16.7496978832
        1.9733801417        1.8473149065       16.7974191780
        1.9904187452        1.7749554356       16.8955203415
        2.0028039453        1.7006695948       16.9930956768
        2.0216803190        1.6312774575       17.0916006850
        2.0564885067        1.5736748548       17.1915122705
        2.1117755597        1.5337910636       17.2907286855
        2.1862237240        1.5150234369       17.3850842350
        2.2743300166        1.5169370096       17.4707310233
        2.3696227280        1.5353216677       17.5465447982
        2.4674913008        1.5640206780       17.6146226160
        2.5661760768        1.5977352399       17.6784295356
