VARIABLES = X, Y, Z
ZONE N =      1576 E =      2828 F=FEPOINT ET=TRIANGLE
        7.5233794877       13.9804064288        0.1868347941
        7.0000000000       14.0000000000        0.0000000000
        7.1746046841       13.9978220329        0.1868347946
        6.8258480630       13.9978333149        0.1869410931
        1.1277095866       10.8100138189        0.0000000000
        1.3244977954       11.0973985314        0.0000000000
        1.2264939072       10.9581090683        0.2401162093
        0.6263454067        9.8942230607        0.0000000000
        0.7782007303       10.2076804467        0.0000000000
        0.7012614178       10.0538323911        0.2237390347
        0.8641589395       10.3691919624        7.5508673087
        0.3703118650        9.2466052687        7.5508673087
        0.3703118650        9.2466052687        6.9119591040
        9.3588612882       13.5905821763        1.9070797831
        8.2935470342       13.8794430058        1.7409889812
        9.0949099741       13.6791730177        1.3217473974
        9.9643898292       13.3413242261        1.2169040092
       10.1949938022       13.2283235789        0.1868347941
       10.7995598076       12.8790598967        0.1868347941
       11.6337543992       12.2467437681        0.1868347941
       11.5014403791       12.3606934732        0.0000000000
       11.7631849441       12.1295291391        0.0000000000
       12.5819344315       11.2239801139        0.1868347941
       12.9110769998       10.7495558007        0.4723864608
       12.9749564170       10.6469022218        0.1868347941
       12.8833606604       10.7928969587        2.3782175862
       12.6375308698       11.1494874011        1.7546963073
       13.2736907191       10.1049645346        1.7973269552
       13.4533948612        9.7117696741        2.3701855730
       13.6793365620        9.0943884769        1.7186077078
       13.6903590067        9.0589065936        0.1868347941
       13.8397777832        8.4891070735        1.2165013090
       13.9298806012        7.9883090881        1.7235107113
       13.9282093938        7.9999572970        0.8023347844
       13.8321466285        8.5237363444        0.4553793947
       13.9427722638        7.8932599249        0.4248264013
       13.9658271211        7.6908346538        0.1849763944
       13.9910048749        6.6452453810        0.1868464324
       13.9999977109        6.9943389152        0.1868347941
       13.9976785374        6.8197360611        0.0000000000
       13.4475727386        4.2744164331        0.1868347941
       13.1439805863        3.6456740536        0.1868347941
       12.7792639555        3.0503027796        0.1868347941
       12.3369177751        2.4703964123        0.8425469227
       12.6424865218        2.8572538273        1.1986902503
       12.6122355245        2.8163637326        0.6764005815
       12.1256753563        2.2326682366        0.1868347941
       10.8603029802        1.1606455064        2.3178036929
       11.7595674013        1.8671140523        2.3493457244
       11.3733610927        1.5343149786        1.7049339952
       11.0788333665        1.3111408553        0.1868347941
       11.3574699296        1.5216374880        0.1868347941
       11.2194644843        1.4146513568        0.0000000000
       10.3259024624        0.8405866505        1.7671381498
       10.1849156067        0.7665168182        0.1868347941
        9.2189861932        0.3610166234        0.1849986640
        9.3846813315        0.4187163146        0.0000000000
        9.0534952616        0.3079780925        0.0000000000
        9.3400250594        0.4027064093        0.4399705716
        9.8506894458        0.6067559343        0.4546653677
        9.5480997780        0.4802463604        0.1868347941
        8.2050051316        0.1044969268        0.1868347941
        8.3766283595        0.1366994558        0.0000000000
        8.0326320577        0.0765853054        0.0000000000
        7.4118001443        0.0121233095        1.7391935029
        8.4724005276        0.1566063473        1.6924327557
        7.9001592116        0.0581188865        1.1990178572
        8.3449723062        0.1304258141        0.8149854709
        7.4172999253        0.0124495871        0.7709252957
        7.5120883288        0.0187561607        0.1868347941
        7.3377921708        0.0081550039        0.0000000000
        7.1632858128        0.0019047060        0.1868347941
        6.9131244285        0.0005391183        1.1912032045
        2.6248309318        1.5357621186        0.1868347941
        2.7624895660        1.4283301138        0.0000000000
        2.4898948614        1.6465943887        0.0000000000
        0.3703118650        9.2466052687        2.4396016712
        0.3703118650        9.2466052687        3.0785098758
        0.0873029588        8.1020978251        2.7564660646
        0.3703118650        9.2466052687        1.8014164187
        0.0894809247        8.1156729405        2.1169184248
        0.1355883869        5.6289226115        0.1868347941
        0.1719236696        5.4581265857        0.0000000000
        0.1035246643        5.8005718262        0.0000000000
        0.3703118650        9.2466052687        1.2401218970
        0.1239965592        8.3117075446        1.4539247912
        0.0761179052        5.9705065630        1.8872325973
